Updated 04/26/25 at 07:05pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Riley Leonard,QB47,QB,FA,1021,-1.0,Yes,QB62,849,,0
A.T. Perry,WR149,WR,DEN,1016,25.5,No,WR143,980,,0
Tyler Johnson,WR150,WR,NYJ,1001,26.7,No,WR149,907,,0
Tyler Boyd,WR151,WR,TEN,995,30.4,No,WR152,877,,0
Jase McClellan,RB109,RB,ATL,989,22.8,No,RB100,972,,0
Tyquan Thornton,WR152,WR,KCC,988,24.7,No,WR154,865,,0
Allen Lazard,WR153,WR,NYJ,983,29.4,No,WR148,936,,0
Isaiah Spiller,RB110,RB,LVR,965,23.7,No,RB112,842,,0
Tylan Wallace,WR154,WR,BAL,956,26.0,No,WR157,831,,0
D.J. Chark,WR155,WR,LAC,949,28.6,No,WR156,844,,0
Clyde Edwards-Helaire,RB111,RB,NOS,948.99,26.0,No,RB111,841.99,,0
Aidan O'Connell,QB48,QB,LVR,941,26.6,No,QB51,1344,,0
Jaheim Bell,TE63,TE,NEP,927,23.9,No,TE64,884,,0
Joe Flacco,QB49,QB,CLE,926,40.3,No,QB50,1417,,0
Eric Gray,RB112,RB,NYG,925.99,25.5,No,RB110,877.99,,0
David Bell,WR156,WR,CLE,921,24.4,No,WR155,848.99,,0
KJ Hamler,WR157,WR,BUF,909,25.8,No,WR158,830,,0
Mac Jones,QB50,QB,SFO,908,26.6,No,QB48,1525,,0
Hassan Haskins,RB113,RB,LAC,901,25.4,No,RB115,785,,0
Chris Brooks,RB114,RB,GBP,892,25.3,No,RB117,728,,0
Jeremy Ruckert,TE64,TE,NYJ,885,24.7,No,TE63,895,,0
Ainias Smith,WR158,WR,PHI,879,23.9,No,WR161,803,,0
Tyler Scott,WR159,WR,CHI,876,23.5,No,WR159,827,,0
Kenny McIntosh,RB115,RB,SEA,870,25.2,No,RB113,816,,0
Kendall Milton,RB116,RB,CIN,856,23.2,No,RB116,770,,0
Gus Edwards,RB117,RB,FA,849,30.0,No,RB119,690,,0
Brashard Smith,RB118,RB,FA,842,-1.0,Yes,RB118,703,,0
Brock Wright,TE65,TE,DET,839,26.4,No,TE66,774,,0
Isaiah Hodgins,WR160,WR,SFO,838,26.5,No,WR153,866,,0
Derius Davis,WR161,WR,LAC,833,24.6,No,WR160,817,,0
Zay Jones,WR162,WR,ARI,829,30.1,No,WR162,795,,0
Donovan Edwards,RB119,RB,FA,827,-1.0,Yes,RB114,804,,0
Irv Smith,TE66,TE,HOU,812,26.7,No,TE65,816.99,,0
Jordan Travis,QB51,QB,NYJ,808,25.0,No,QB56,1067,,0
Kenny Pickett,QB52,QB,CLE,802,26.9,No,QB42,1730,,0
Ryan Flournoy,WR163,WR,DAL,801.99,25.5,No,WR170,701,,0
Josh Reynolds,WR164,WR,NYJ,801,30.2,No,WR164,781,,0
Tory Horton,WR165,WR,FA,797,-1.0,Yes,WR173,607,,0
Justyn Ross,WR166,WR,KCC,794,25.4,No,WR172,661,,0
Rakim Jarrett,WR167,WR,TBB,793,24.2,No,WR163,783,,0
Malik Heath,WR168,WR,GBP,778,25.2,No,WR168,706,,0
Skyy Moore,WR169,WR,KCC,773,24.6,No,WR166,746,,0
Gardner Minshew,QB53,QB,KCC,767,28.9,No,QB53,1138.99,,0
Drew Lock,QB54,QB,SEA,759,28.4,No,QB55,1101,,0
Peyton Hendershot,TE67,TE,KCC,751,26.0,No,TE70,671,,0
Hendon Hooker,QB55,QB,DET,748,27.3,No,QB54,1136,,0
Julius Chestnut,RB120,RB,TEN,735,24.5,No,RB122,569,,0
Hayden Hurst,TE68,TE,LAC,732,31.7,No,TE67,768,,0
Justin Watson,WR170,WR,HOU,731,29.1,No,WR174,593,,0
Trayveon Williams,RB121,RB,CIN,725,27.5,No,RB121,616,,0
Zach Wilson,QB56,QB,MIA,723,25.7,No,QB49,1440,,0
Devin Duvernay,WR171,WR,CHI,722.99,27.6,No,WR169,705,,0
Josh Whyle,TE69,TE,TEN,722,25.6,No,TE68,712,,0
Lil'Jordan Humphrey,WR172,WR,NYG,715,27.0,No,WR165,763,,0
LeQuint Allen,RB122,RB,FA,712,-1.0,Yes,RB120,626,,0
Kalif Raymond,WR173,WR,DET,701,30.7,No,WR171,695,,0
Trey Lance,QB57,QB,LAC,691,25.0,No,QB57,946,,0
Ronnie Rivers,RB123,RB,LAR,690.99,26.2,No,RB125,532,,0
Chris Evans,RB124,RB,CIN,688,27.6,No,RB123,568,,0
Adam Trautman,TE70,TE,DEN,684,28.2,No,TE69,688,,0
Sterling Shepard,WR174,WR,TBB,667,32.2,No,WR167,710,,0
Jalen Reagor,WR175,WR,LAC,646,26.3,No,WR175,550,,0
Josh Oliver,TE72,TE,MIN,644,28.1,No,TE71,642,,0
Travis Homer,RB125,RB,CHI,643.99,26.7,No,RB127,527,,0
Craig Reynolds,RB126,RB,DET,640,28.9,No,RB124,554,,0
Kylen Granson,TE73,TE,PHI,637,27.1,No,TE73,552,,0
DeeJay Dallas,RB127,RB,ARI,636.99,26.6,No,RB128,522,,0
Cedrick Wilson,WR176,WR,NOS,635,29.4,No,WR176,519,,0
D'Onta Foreman,RB128,RB,CLE,600,29.0,No,RB126,530,,0
Dorian Thompson-Robinson,QB58,QB,PHI,594,25.4,No,QB58,945.99,,0
Austin Hooper,TE74,TE,NEP,579,30.5,No,TE72,582,,0
Woody Marks,RB130,RB,FA,565,-1.0,Yes,RB129,509,,0
Tip Reiman,TE75,TE,ARI,554,23.6,No,TE76,510,,0
Harrison Bryant,TE77,TE,PHI,512,27.0,No,TE74,523,,0
Charlie Kolar,TE79,TE,BAL,494,26.2,No,TE75,509.99,,0
Tommy DeVito,QB59,QB,NYG,450,26.7,No,QB73,641.99,,0
Tyler Huntley,QB60,QB,MIA,439,27.2,No,QB64,829.99,,0
Deshaun Watson,QB61,QB,CLE,437,29.6,No,QB60,898,,0
Cooper Rush,QB62,QB,BAL,435,31.4,No,QB66,780.99,,0
Desmond Ridder,QB63,QB,LVR,426,25.6,No,QB63,836,,0
Jake Browning,QB64,QB,CIN,416,29.0,No,QB59,942,,0
Mason Rudolph,QB65,QB,PIT,400,29.8,No,QB52,1288,,0
Jacoby Brissett,QB66,QB,ARI,374,32.4,No,QB65,828,,0
Kyle Williams,WR204,WR,FA,247,-1.0,Yes,WR201,265,,0
Joshua Dobbs,QB67,QB,NEP,225,30.2,No,QB70,722,,0
Kyle McCord,QB69,QB,FA,211,-1.0,Yes,QB61,886,,0
Tyson Bagent,QB70,QB,CHI,205,24.9,No,QB69,725,,0
Tyrod Taylor,QB71,QB,NYJ,200,35.7,No,QB68,727,,0
Davis Mills,QB72,QB,HOU,198,26.5,No,QB77,526,,0
Savion Williams,WR209,WR,FA,190,-1.0,Yes,WR203,190,,0
Bailey Zappe,QB74,QB,KCC,189,26.0,No,QB72,670,,0
Kyle Trask,QB75,QB,TBB,184,27.1,No,QB74,540,,0
Tai Felton,WR217,WR,FA,178,-1.0,Yes,WR202,195,,0
Jarrett Stidham,QB81,QB,DEN,177.99,28.7,No,QB75,533,,0
Marcus Mariota,QB88,QB,WAS,161,31.5,No,QB67,771,,0
Jake Haener,QB91,QB,NOS,126,26.1,No,QB76,529,,0
Pat Bryant,WR241,WR,FA,115,-1.0,Yes,WR240,147,,0
Andy Dalton,QB93,QB,CAR,100,37.5,No,QB71,678,,0
Taylor Heinicke,QB96,QB,LAC,37,32.1,No,QB78,515,,0
Jarquez Hunter,RB181,RB,FA,26,-1.0,Yes,RB180,23,,0
