Updated 04/26/25 at 07:05pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Cooper Kupp,WR54,WR,SEA,3671,31.9,No,WR54,2949,,0
Jordan Mason,RB39,RB,MIN,3648,25.9,No,RB41,2827,,0
Jonathon Brooks,RB40,RB,CAR,3643,21.8,No,RB37,2915,,0
Shedeur Sanders,QB23,QB,FA,3629,-1.0,Yes,QB31,3051,,0
D'Andre Swift,RB41,RB,CHI,3628,26.3,No,RB38,2874,,0
Tank Dell,WR55,WR,HOU,3604,25.5,No,WR57,2836,,0
Calvin Ridley,WR56,WR,TEN,3600,30.4,No,WR53,2968,,0
Justin Fields,QB24,QB,NYJ,3589,26.1,No,QB26,3926,,0
Anthony Richardson,QB25,QB,IND,3585,22.9,No,QB27,3661,,0
Rashid Shaheed,WR57,WR,NOS,3583,26.6,No,WR56,2873.99,,0
Stefon Diggs,WR58,WR,NEP,3550,31.4,No,WR60,2804,,0
2027 Mid 2nd,,PI,,3513,,,,3039,,0
Evan Engram,TE14,TE,DEN,3503,30.6,No,TE15,2851,,0
Tua Tagovailoa,QB26,QB,MIA,3498,27.2,No,QB23,4319,,0
2026 Late 2nd,,PI,,3493,,,,2843,,0
Jake Ferguson,TE15,TE,DAL,3482,26.3,No,TE14,2866,,0
Darnell Mooney,WR59,WR,ATL,3473,27.5,No,WR59,2808,,0
Pat Freiermuth,TE16,TE,PIT,3458,26.5,No,TE18,2784,,0
Blake Corum,RB42,RB,LAR,3446,24.4,No,RB43,2791,,0
Sam Darnold,QB27,QB,SEA,3440,27.9,No,QB25,4084,,0
Adonai Mitchell,WR60,WR,IND,3429,22.6,No,WR58,2811,,0
Cade Otton,TE17,TE,TBB,3419,26.0,No,TE16,2794,,0
Rachaad White,RB43,RB,TBB,3416,26.3,No,RB42,2816,,0
Isaac Guerendo,RB44,RB,SFO,3411,24.8,No,RB44,2768,,0
Rhamondre Stevenson,RB45,RB,NEP,3388,27.2,No,RB47,2687,,0
Jonnu Smith,TE18,TE,MIA,3362,29.7,No,TE17,2785,,0
Quentin Johnston,WR61,WR,LAC,3357,23.6,No,WR61,2777,,0
Marvin Mims,WR62,WR,DEN,3356.99,23.1,No,WR63,2745,,0
Christian Kirk,WR63,WR,HOU,3342,28.4,No,WR62,2772,,0
Brenton Strange,TE19,TE,JAC,3335,24.3,No,TE19,2783,,0
Jaylen Wright,RB46,RB,MIA,3334,22.1,No,RB46,2698,,0
Dylan Sampson,RB47,RB,FA,3328,-1.0,Yes,RB45,2728,,0
Travis Kelce,TE20,TE,KCC,3324,35.6,No,TE20,2727,,0
Jalen Coker,WR65,WR,CAR,3322,23.5,No,WR65,2683,,0
Romeo Doubs,WR64,WR,GBP,3321.99,25.0,No,WR67,2672,,0
Rashod Bateman,WR66,WR,BAL,3320,25.4,No,WR64,2741,,0
Ray Davis,RB48,RB,BUF,3312,25.4,No,RB48,2666,,0
Cedric Tillman,WR67,WR,CLE,3267,25.0,No,WR68,2663,,0
2027 Late 2nd,,PI,,3234,,,,2780,,0
Ben Sinnott,TE21,TE,WAS,3228,22.9,No,TE21,2628,,0
Marquise Brown,WR68,WR,KCC,3198,27.9,No,WR66,2682,,0
Devin Neal,RB49,RB,FA,3186,-1.0,Yes,RB51,2533,,0
Christian Watson,WR69,WR,GBP,3173,26.0,No,WR69,2658,,0
Javonte Williams,RB50,RB,DAL,3135,25.0,No,RB50,2618,,0
Ja'Tavion Sanders,TE22,TE,CAR,3118,22.1,No,TE23,2589,,0
Trevor Etienne,RB51,RB,FA,3111,-1.0,Yes,RB55,2360,,0
Dallas Goedert,TE23,TE,PHI,3108,30.3,No,TE22,2615,,0
2025 Early 3rd,,PI,,3095,,,,2631,,0
Tyler Allgeier,RB52,RB,ATL,3083,25.0,No,RB52,2518,,0
Dontayvion Wicks,WR70,WR,GBP,3063,23.9,No,WR71,2479,,0
Jalen Milroe,QB28,QB,FA,3054,-1.0,Yes,QB29,3314,,0
J.K. Dobbins,RB53,RB,LAC,3009,26.4,No,RB53,2418,,0
MarShawn Lloyd,RB54,RB,GBP,3002,24.3,No,RB54,2387,,0
Wan'Dale Robinson,WR71,WR,NYG,2998,24.3,No,WR70,2540,,0
RJ Harvey,RB55,RB,FA,2987,-1.0,Yes,RB49,2657,,0
Troy Franklin,WR72,WR,DEN,2984,22.2,No,WR72,2425,,0
Cole Kmet,TE24,TE,CHI,2959,26.1,No,TE24,2399,,0
Ollie Gordon,RB56,RB,FA,2899,-1.0,Yes,RB56,2323,,0
Kendre Miller,RB57,RB,NOS,2887,22.9,No,RB57,2314,,0
Demario Douglas,WR73,WR,NEP,2876,24.4,No,WR74,2405,,0
Audric Estime,RB58,RB,DEN,2862,21.6,No,RB60,2253,,0
Rico Dowdle,RB59,RB,CAR,2829,26.9,No,RB59,2286,,0
Geno Smith,QB29,QB,LVR,2820,34.5,No,QB28,3442,,0
Jaylin Noel,WR74,WR,FA,2807,-1.0,Yes,WR73,2409,,0
Alec Pierce,WR75,WR,IND,2804,25.0,No,WR75,2318,,0
Matthew Stafford,QB30,QB,LAR,2798,37.2,No,QB30,3062,,0
Jerome Ford,RB60,RB,CLE,2796,25.6,No,RB58,2298,,0
Jaxson Dart,QB31,QB,NYG,2769,-1.0,Yes,QB24,4158,,0
Isaiah Bond,WR76,WR,FA,2726,-1.0,Yes,WR79,2160,,0
2025 Mid 3rd,,PI,,2718,,,,2438,,0
2026 Early 3rd,,PI,,2697,,,,2383,,0
Joshua Palmer,WR77,WR,BUF,2660,25.6,No,WR78,2169,,0
Amari Cooper,WR78,WR,BUF,2635,30.8,No,WR77,2221,,0
2025 Late 3rd,,PI,,2618,,,,2218,,0
Michael Mayer,TE25,TE,LVR,2611,23.8,No,TE25,2234,,0
Elic Ayomanor,WR79,WR,FA,2603,-1.0,Yes,WR81,2132,,0
Bhayshul Tuten,RB61,RB,FA,2587,-1.0,Yes,RB61,2180,,0
Michael Wilson,WR80,WR,ARI,2584,25.2,No,WR80,2153,,0
Theo Johnson,TE26,TE,NYG,2574,24.2,No,TE28,2197,,0
Luke Musgrave,TE27,TE,GBP,2570,24.6,No,TE26,2224,,0
Kayshon Boutte,WR81,WR,NEP,2535,23.0,No,WR84,2081,,0
Mike Gesicki,TE28,TE,CIN,2534,29.6,No,TE29,2158,,0
Chigoziem Okonkwo,TE29,TE,TEN,2527,25.6,No,TE30,2114,,0
Noah Gray,TE30,TE,KCC,2523,26.0,No,TE27,2206,,0
2026 Mid 3rd,,PI,,2520,,,,2155,,0
Jack Bech,WR82,WR,FA,2516,-1.0,Yes,WR76,2281,,0
Ja'Lynn Polk,WR83,WR,NEP,2477,23.0,No,WR85,2058,,0
Andrei Iosivas,WR84,WR,CIN,2437,25.5,No,WR82,2116,,0
Dalton Schultz,TE31,TE,HOU,2426,28.8,No,TE31,2098,,0
2027 Early 3rd,,PI,,2416,,,,2259,,0
Keenan Allen,WR85,WR,CHI,2406,33.0,No,WR83,2096,,0
Keaton Mitchell,RB62,RB,BAL,2381,23.3,No,RB62,2023,,0
Jordan Whittington,WR86,WR,LAR,2361,24.6,No,WR88,1927,,0
Harold Fannin,TE32,TE,FA,2352,-1.0,Yes,TE33,1998,,0
Roschon Johnson,RB63,RB,CHI,2324,24.2,No,RB68,1914,,0
Jaleel McLaughlin,RB64,RB,DEN,2321,24.6,No,RB67,1935,,0
Jalen Royals,WR87,WR,FA,2308,-1.0,Yes,WR90,1887,,0
2026 Late 3rd,,PI,,2296,,,,2035,,0
Roman Wilson,WR88,WR,PIT,2282,23.8,No,WR86,1960,,0
Luke McCaffrey,WR89,WR,WAS,2277,24.1,No,WR87,1938,,0
Parker Washington,WR90,WR,JAC,2271,23.1,No,WR89,1904,,0
Elijah Arroyo,TE33,TE,FA,2270,-1.0,Yes,TE32,2061,,0
Austin Ekeler,RB65,RB,WAS,2267,29.9,No,RB65,1944,,0
2027 Mid 3rd,,PI,,2260,,,,1977,,0
Nick Chubb,RB66,RB,CLE,2249,29.3,No,RB66,1934.99,,0
Elijah Moore,WR91,WR,CLE,2248.99,25.1,No,WR91,1852,,0
Tre Tucker,WR92,WR,LVR,2208,24.1,No,WR92,1847,,0
Sean Tucker,RB67,RB,TBB,2188,23.5,No,RB64,1952,,0
Quinn Ewers,QB32,QB,FA,2159,-1.0,Yes,QB37,2080,,0
Damien Martinez,RB68,RB,FA,2157,-1.0,Yes,RB70,1793,,0
Xavier Restrepo,WR93,WR,FA,2156,-1.0,Yes,WR94,1806,,0
Dyami Brown,WR94,WR,JAC,2153,25.5,No,WR96,1771,,0
Kimani Vidal,RB69,RB,LAC,2150,23.7,No,RB73,1688,,0
Hunter Henry,TE34,TE,NEP,2143,30.4,No,TE34,1910,,0
Malik Washington,WR95,WR,MIA,2141,24.3,No,WR93,1835,,0
DJ Giddens,RB70,RB,FA,2139,-1.0,Yes,RB63,2003,,0
Joe Milton,QB33,QB,DAL,2106,25.1,No,QB33,2338,,0
Tutu Atwell,WR96,WR,LAR,2088,25.6,No,WR97,1764,,0
Will Shipley,RB71,RB,PHI,2083,22.6,No,RB71,1777,,0
Isaiah Davis,RB72,RB,NYJ,2074,23.2,No,RB69,1792.99,,0
2027 Late 3rd,,PI,,2060,,,,1902,,0
Elijah Mitchell,RB73,RB,KCC,2052,27.0,No,RB74,1666,,0
Zach Ertz,TE35,TE,WAS,2048,34.4,No,TE35,1818,,0
Adam Thielen,WR97,WR,CAR,2026,34.7,No,WR99,1738,,0
Gabriel Davis,WR98,WR,JAC,2025,26.1,No,WR95,1802,,0
Javon Baker,WR99,WR,NEP,2011,23.2,No,WR100,1726,,0
2025 Early 4th,,PI,,1999,,,,1849,,0
DeAndre Hopkins,WR100,WR,BAL,1998,32.9,No,WR98,1756,,0
Devaughn Vele,WR101,WR,DEN,1990,27.4,No,WR105,1633,,0
Juwan Johnson,TE36,TE,NOS,1975,28.6,No,TE37,1758,,0
Noah Fant,TE37,TE,SEA,1970,27.4,No,TE36,1761,,0
Jalin Hyatt,WR102,WR,NYG,1969,23.6,No,WR108,1585,,0
Kareem Hunt,RB74,RB,KCC,1962,29.7,No,RB72,1718,,0
John Metchie,WR103,WR,HOU,1961,24.8,No,WR102,1664,,0
Jalen Tolbert,WR104,WR,DAL,1954,26.2,No,WR103,1659,,0
Erick All,TE38,TE,CIN,1944,24.6,No,TE38,1729,,0
Malachi Corley,WR105,WR,NYJ,1941,23.1,No,WR106,1632,,0
Darius Slayton,WR106,WR,NYG,1931,28.3,No,WR101,1706,,0
Antonio Gibson,RB75,RB,NEP,1926,26.8,No,RB76,1608,,0
Jahan Dotson,WR107,WR,PHI,1924,25.1,No,WR104,1649,,0
2026 Early 4th,,PI,,1914,,,,1663.99,,0
Trey Palmer,WR108,WR,TBB,1903,24.1,No,WR111,1519,,0
Jermaine Burton,WR109,WR,CIN,1895,23.8,No,WR109,1563,,0
Kenneth Gainwell,RB76,RB,PIT,1887,26.1,No,RB78,1521,,0
2025 Mid 4th,,PI,,1885,,,,1701,,0
AJ Barner,TE39,TE,SEA,1865,23.0,No,TE43,1481,,0
Devin Singletary,RB77,RB,NYG,1847,27.6,No,RB77,1590,,0
Justice Hill,RB78,RB,BAL,1831,27.4,No,RB80,1514,,0
Dawson Knox,TE40,TE,BUF,1824,28.4,No,TE39,1712,,0
Russell Wilson,QB34,QB,NYG,1823,36.4,No,QB32,2375,,0
Jalen Nailor,WR110,WR,MIN,1809,26.2,No,WR107,1587,,0
Rondale Moore,WR111,WR,MIN,1807,24.9,No,WR112,1505,,0
Luke Schoonmaker,TE41,TE,DAL,1795,26.6,No,TE40,1691,,0
Jonathan Mingo,WR112,WR,DAL,1780,24.0,No,WR113,1447,,0
Cade Stover,TE42,TE,HOU,1779,24.9,No,TE42,1511,,0
Nick Westbrook-Ikhine,WR113,WR,MIA,1778.99,28.1,No,WR119,1386,,0
Zack Moss,RB79,RB,CIN,1764,27.4,No,RB75,1662,,0
2025 Late 4th,,PI,,1760,,,,1570,,0
Mason Taylor,TE43,TE,FA,1750,-1.0,Yes,TE41,1628,,0
Curtis Samuel,WR114,WR,BUF,1744,28.7,No,WR110,1529,,0
Tez Johnson,WR115,WR,FA,1735,-1.0,Yes,WR114,1443,,0
